Mouse_ID,Group,Sex,Day,Licks,Phase,Day_of_Phase
14,Control,M,PS1,547,PS,1
15,Control,F,PS1,315,PS,1
16,ChR2,M,PS1,916,PS,1
17,ChR2,F,PS1,542,PS,1
18,ChR2,F,PS1,496,PS,1
19,ChR2,F,PS1,537,PS,1
20,ChR2,M,PS1,89,PS,1
21,ChR2,M,PS1,593,PS,1
22,Control,F,PS1,120,PS,1
1,Control,F,PS2,680,PS,2
2,Control,F,PS2,662,PS,2
3,Control,F,PS2,952,PS,2
4,Control,M,PS2,625,PS,2
5,ChR2,F,PS2,537,PS,2
6,ChR2,F,PS2,625,PS,2
7,ChR2,M,PS2,764,PS,2
8,ChR2,M,PS2,462,PS,2
9,ChR2,M,PS2,346,PS,2
10,ChR2,M,PS2,801,PS,2
11,ChR2,M,PS2,641,PS,2
12,Control,M,PS2,467,PS,2
13,Control,M,PS2,552,PS,2
14,Control,M,PS2,729,PS,2
15,Control,F,PS2,434,PS,2
16,ChR2,M,PS2,675,PS,2
17,ChR2,F,PS2,477,PS,2
18,ChR2,F,PS2,954,PS,2
19,ChR2,F,PS2,564,PS,2
20,ChR2,M,PS2,175,PS,2
21,ChR2,M,PS2,444,PS,2
22,Control,F,PS2,147,PS,2
1,Control,F,PS3,684,PS,3
2,Control,F,PS3,605,PS,3
3,Control,F,PS3,828,PS,3
4,Control,M,PS3,690,PS,3
5,ChR2,F,PS3,581,PS,3
6,ChR2,F,PS3,547,PS,3
7,ChR2,M,PS3,720,PS,3
8,ChR2,M,PS3,704,PS,3
9,ChR2,M,PS3,773,PS,3
10,ChR2,M,PS3,1011,PS,3
11,ChR2,M,PS3,706,PS,3
12,Control,M,PS3,491,PS,3
13,Control,M,PS3,575,PS,3
14,Control,M,PS3,830,PS,3
15,Control,F,PS3,543,PS,3
16,ChR2,M,PS3,669,PS,3
17,ChR2,F,PS3,601,PS,3
18,ChR2,F,PS3,718,PS,3
19,ChR2,F,PS3,519,PS,3
20,ChR2,M,PS3,186,PS,3
21,ChR2,M,PS3,430,PS,3
22,Control,F,PS3,186,PS,3
1,Control,F,PS4,485,PS,4
2,Control,F,PS4,623,PS,4
3,Control,F,PS4,806,PS,4
4,Control,M,PS4,759,PS,4
5,ChR2,F,PS4,515,PS,4
6,ChR2,F,PS4,595,PS,4
7,ChR2,M,PS4,478,PS,4
8,ChR2,M,PS4,498,PS,4
9,ChR2,M,PS4,682,PS,4
10,ChR2,M,PS4,919,PS,4
11,ChR2,M,PS4,763,PS,4
12,Control,M,PS4,557,PS,4
13,Control,M,PS4,589,PS,4
14,Control,M,PS4,411,PS,4
15,Control,F,PS4,619,PS,4
16,ChR2,M,PS4,895,PS,4
17,ChR2,F,PS4,390,PS,4
18,ChR2,F,PS4,821,PS,4
19,ChR2,F,PS4,446,PS,4
20,ChR2,M,PS4,319,PS,4
21,ChR2,M,PS4,630,PS,4
22,Control,F,PS4,337,PS,4
1,Control,F,R1_1,65,R1,1
2,Control,F,R1_1,128,R1,1
3,Control,F,R1_1,129,R1,1
4,Control,M,R1_1,281,R1,1
5,ChR2,F,R1_1,477,R1,1
6,ChR2,F,R1_1,532,R1,1
7,ChR2,M,R1_1,297,R1,1
8,ChR2,M,R1_1,10,R1,1
9,ChR2,M,R1_1,3,R1,1
10,ChR2,M,R1_1,274,R1,1
11,ChR2,M,R1_1,287,R1,1
12,Control,M,R1_1,98,R1,1
13,Control,M,R1_1,172,R1,1
14,Control,M,R1_1,71,R1,1
15,Control,F,R1_1,115,R1,1
16,ChR2,M,R1_1,98,R1,1
17,ChR2,F,R1_1,131,R1,1
18,ChR2,F,R1_1,170,R1,1
